trip_id	household_id	person_n	trip_n	travel_mode	purpose	fueltype	faretype	bus_scale	survey_year	travel_year	travel_month	travel_date	day_of_week	start_time	age	female	driving_license	car_ownership	distance	dur_walking	dur_cycling	dur_pt_access	dur_pt_rail	dur_pt_bus	dur_pt_int	pt_interchanges	dur_driving	cost_transit	cost_driving_fuel	cost_driving_ccharge	driving_traffic_percent
29	8	1	2	3	3	1	1	1.0	1	2012	4	1	7	12.5	49	1	0	1	7648	1.675277778	0.471111111	0.0536111109999999	0.0	0.433888889	0.0	0	0.467777778	1.5	1.23	0.0	0.397862
65	13	1	3	3	5	1	5	0.0	1	2012	4	1	7	18.0	64	0	1	1	14470	3.338888889	1.082222222	0.050833333	0.2166666669999999	0.590555556	0.237777778	2	0.863888889	0.0	2.6	0.0	0.675884
70	13	2	2	3	3	1	1	1.0	1	2012	4	1	7	15.0	19	0	0	1	3371	0.842777778	0.3125	0.158333333	0.15	0.0	0.0	0	0.2425	2.4	0.72	0.0	0.382589
77	15	0	1	1	5	6	1	1.0	1	2012	4	1	7	11.5	40	0	1	0	1193	0.28	0.146666667	0.095	0.0	0.099444444	0.0	0	0.140833333	1.5	0.33	0.0	0.3668639999999999
90	18	0	0	4	3	6	1	1.0	1	2012	4	1	7	13.0	45	1	0	0	1269	0.315277778	0.112222222	0.163888889	0.0	0.064444444	0.0	0	0.128611111	1.5	0.3	0.0	0.144708
91	18	0	1	4	3	6	1	1.0	1	2012	4	1	7	14.0	45	1	0	0	1269	0.301666667	0.086388889	0.156111111	0.0	0.044444444	0.0	0	0.081666667	1.5	0.2	0.0	0.170068
116	24	0	0	3	3	6	5	0.0	1	2012	4	2	1	10.5	82	1	0	0	4697	1.216944444	0.3727777779999999	0.076944444	0.0	0.2875	0.110833333	1	0.208611111	0.0	0.69	0.0	0.182423
128	26	1	2	4	3	1	1	1.0	1	2012	4	2	1	15.5	59	1	1	2	2016	0.462222222	0.145	0.164444444	0.0	0.091944444	0.0	0	0.085833333	1.5	0.29	0.0	0.365696
138	28	0	3	4	3	1	5	0.0	1	2012	4	2	1	21.08333333	84	0	1	2	6811	1.677777778	0.5375	0.097777778	0.0	0.5166666670000001	0.0	0	0.2825	0.0	1.11	0.0	0.139626
148	30	1	0	3	3	2	1	1.0	1	2012	4	2	1	11.0	42	0	1	1	4718	1.190833333	0.366111111	0.040277778	0.0	0.586111111	0.095	1	0.366666667	3.0	0.82	0.0	0.483333
205	42	3	4	3	5	2	3	0.0	1	2012	4	3	2	17.16666667	13	1	0	2	1713	0.4577777779999999	0.18	0.1075	0.0	0.123055556	0.0	0	0.160833333	0.0	0.36	0.0	0.236615
222	47	0	1	3	5	6	1	1.0	1	2012	4	3	2	16.0	28	1	0	0	2012	0.504166667	0.18	0.197777778	0.033333333	0.0	0.0	0	0.203611111	2.4	0.39	10.5	0.48704
225	47	1	1	3	1	6	1	1.0	1	2012	4	3	2	19.0	28	0	1	0	18804	4.1825	1.519444444	0.1555555559999999	0.566666667	0.441944444	0.1166666669999999	1	0.8344444440000001	4.6	3.14	0.0	0.531292
229	48	0	4	3	3	1	5	0.0	1	2012	4	3	2	14.5	64	0	1	2	1197	0.265555556	0.093888889	0.05	0.0	0.1	0.0	0	0.128333333	0.0	0.29	0.0	0.1320349999999999
253	54	1	1	3	3	6	1	0.0	1	2012	4	3	2	14.5	27	0	1	0	1924	0.475277778	0.175	0.143055556	0.083333333	0.0	0.0	0	0.159722222	1.5	0.38	0.0	0.612174
291	66	0	3	4	3	1	5	0.0	1	2012	4	4	3	13.76666667	76	1	1	2	450	0.1275	0.033611111	0.077222222	0.0	0.016944444	0.0	0	0.025555556	0.0	0.08	0.0	0.1413039999999999
314	72	2	1	1	3	6	3	0.0	1	2012	4	6	5	12.41666667	12	0	0	0	664	0.208888889	0.072777778	0.170277778	0.0	0.0144444439999999	0.0	0	0.070833333	0.0	0.17	0.0	0.0
316	73	0	0	1	3	6	5	0.0	1	2012	4	6	5	9.0	64	0	1	0	960	0.263055556	0.098888889	0.1375	0.016666667	0.0	0.0	0	0.1436111109999999	0.0	0.32	0.0	0.1682789999999999
327	76	0	2	3	3	6	5	0.0	1	2012	4	6	5	12.33333333	66	1	1	0	7557	1.7552777780000002	0.526666667	0.2216666669999999	0.3833333329999999	0.0	0.0	0	0.3363888889999999	0.0	1.16	0.0	0.180017
341	80	0	2	3	3	6	1	1.0	1	2012	4	6	5	14.33333333	31	1	1	0	977	0.2047222219999999	0.069444444	0.0288888889999999	0.0	0.1041666669999999	0.0	0	0.053055556	1.5	0.14	0.0	0.7905760000000001
348	81	2	0	4	3	1	3	0.0	1	2012	4	6	5	16.75	13	1	0	2	3197	0.814444444	0.221111111	0.051944444	0.0	0.454166667	0.106111111	1	0.293888889	0.0	0.83	0.0	0.6361060000000001
353	82	0	0	3	3	6	1	0.0	1	2012	4	6	5	12.0	74	1	1	2	3748	0.8755555559999999	0.255	0.082222222	0.0	0.2166666669999999	0.0	0	0.194722222	0.0	0.55	0.0	0.149786
366	85	0	0	1	3	1	1	1.0	1	2012	4	7	6	14.0	38	1	1	2	1053	0.2397222219999999	0.106944444	0.074166667	0.0	0.08	0.0	0	0.160833333	1.5	0.33	0.0	0.537133
383	89	0	1	4	3	1	1	1.0	1	2012	4	8	7	19.0	31	0	1	1	8393	2.012777778	0.6333333329999999	0.156388889	0.0	0.379166667	0.115277778	1	0.331111111	3.0	1.23	0.0	0.145973
